artist,title,sale_year,price,low_estimate,high_estimate,auction_title
"GERMAN SCHOOL, 19TH CENTURY ", A DOG ON A LEASH IN A LANDSCAPE,2020.0,12500.0,2000.0,3000.0,Mario Buatta: Prince of Interiors
FOLLOWER OF JAN VAN HUYSUM , AN ARRANGEMENT OF FLOWERS,2020.0,3000.0,2000.0,3000.0,Mario Buatta: Prince of Interiors
"AFTER GEORGE STUBBS, 20TH CENTURY ", A BROWN AND WHITE NORFOLK OR WATER SPANIEL,2020.0,20000.0,1000.0,2000.0,Mario Buatta: Prince of Interiors
"CONTINENTAL SCHOOL, 18TH/19TH CENTURY ", THREE TRAVELLING GNOMES,2020.0,2500.0,200.0,300.0,Mario Buatta: Prince of Interiors
MANNER OF GEORGE STUBBS , A SPANIEL AND TOY TERRIER IN A LANDSCAPE,2020.0,16250.0,3000.0,5000.0,Mario Buatta: Prince of Interiors
"FRENCH SCHOOL, POSSIBLY 19TH CENTURY ", NAPOLEON AS FIRST CONSUL,2020.0,2750.0,800.0,1200.0,Mario Buatta: Prince of Interiors
"CONTINENTAL SCHOOL, 19TH/20TH CENTURY ", A STUDY OF FLOWERS,2020.0,5250.0,1500.0,2500.0,Mario Buatta: Prince of Interiors
AFTER SIR JOSHUA REYNOLDS ," CARICATURE OF THOMAS BRUDENELL-BRUCE, 1ST EARL OF AILESBURY, THE HON. JOHN WARD, JOSEPH LEESON, LATER 2ND EARL OF MILLTOWN, AND JOSEPH HENRY OF STRAFFAN",2020.0,114822.09,5249.01,7873.51,Royal and Noble
CIRCLE OF PAOLO DE' MATTEIS ," AN ALLEGORY OF PROSPERITY AND THE ARTS IN THE CITY OF NAPLES; AND TRIUMPH OF GALATEA WITH A VIEW OF MESSINA BEYOND, AND A PORTRAIT OF CHARLES VI (1685-1740), HOLY ROMAN EMPEROR, HELD ALOFT BY VICTORY",2020.0,42648.21,15747.03,23620.54,Royal and Noble
GILLIS PEETERS THE ELDER , A RIVER LANDSCAPE WITH FIGURES AND CATTLE BEFORE A FORTIFIED HOUSE,2020.0,4592.88,2624.5,3936.76,Royal and Noble
STUDIO OF CLAUDE-JOSEPH VERNET ," CAPRICCIO VIEW OF NAPLES, WITH WASHERWOMEN AND FISHERMEN IN THE FOREGROUND; AND A CAPRICCIO VIEW OF THE TEMPLE OF THE SYBIL IN TIVOLI, WITH A WATERFALL AND A SHEPHERD WITH HIS FLOCK IN THE FOREGROUND",2020.0,73814.2,26245.05,39367.57,Royal and Noble
STEPHEN SLAUGHTER ," PORTRAIT OF WILLIAM GRAHAM OF PLATTEN HALL, COUNTY MEATH, THREE-QUARTER-LENGTH, HOLDING A SNUFF BOX",2020.0,18043.47,10498.02,15747.03,Royal and Noble
JOHN FERNELEY SNR. ," PORTRAIT OF SIR WILLIAM MORDAUNT STURT MILNER, 4TH BT. (1779-1855) WITH TWO CLUMBER SPANIELS OUT SHOOTING",2020.0,4756.92,3936.76,5249.01,Royal and Noble
FOLLOWER OF LUCA CARLEVARIJS ," VENICE, A VIEW OF THE PIAZZETTA; AND VENICE, A VIEW OF THE MOLO",2020.0,57411.05,15747.03,23620.54,Royal and Noble
ATTRIBUTED TO ADRIAEN VAN DIEST ," A WOODED RIVER LANDSCAPE WITH A FERRY AND FIGURES BY THE BANKS, A RUINED TOWER AND MOUNTAINS BEYOND; AND A COASTAL LANDSCAPE WITH FIGURES BY THE SHORE AND A VESSEL AT SEA, A TOWN AND MOUNTAINS BEYOND",2020.0,8201.58,6561.26,9185.77,Royal and Noble
THOMAS SPENCER ," RALPH GORE, VISCOUNT BELLEISLE AND 1ST EARL OF ROSS (1725-1802) ON HIS BAY HUNTER IN A LANDSCAPE",2020.0,68893.26,26245.05,39367.57,Royal and Noble
ATTRIBUTED TO THOMAS MURRAY ," PORTRAIT OF HENRY STEWART (D. 1717) AS A BOY, FULL-LENGTH, SEATED BENEATH A TREE WITH HIS DOG, WITH SHIPS AT SEA BEYOND",2020.0,14762.84,10498.02,15747.03,Royal and Noble
"SIR THOMAS LAWRENCE, P.R.A. ", PORTRAIT OF LADY EMILY CAULFIELD (1808-29),2020.0,18043.47,7873.51,10498.02,Royal and Noble
"SCHOOL OF ARAGON, 15TH CENTURY ", A SEATED BISHOP RAISING HIS HAND IN BLESSING,2020.0,10662.05,7873.51,10498.02,Royal and Noble
ROBERT HUNTER ," PORTRAIT OF JOSEPH LEESON, LATER 2ND EARL OF MILLTOWN (1730-1801), FULL-LENGTH, STANDING BY A CLASSICAL URN, A LANDSCAPE BEYOND",2020.0,24604.73,5249.01,7873.51,Royal and Noble
"MICHELE TOSINI, CALLED MICHELE DI RIDOLFO DEL GHIRLANDAIO ", PIETÀ WITH TWO ANGELS,2019.0,11250.0,20000.0,30000.0,Fabrizio Moretti x Fabrizio Moretti | In Passing
"GIOVANNI DI SER GIOVANNI GUIDI, CALLED SCHEGGIA "," TWO BOYS AT PLAY, A DESCO DA PARTO",2019.0,262500.0,200000.0,300000.0,Fabrizio Moretti x Fabrizio Moretti | In Passing
"NETHERLANDISH SCHOOL, CIRCA 1500 ", THE ANNUNCIATION,2019.0,11875.0,25000.0,35000.0,Fabrizio Moretti x Fabrizio Moretti | In Passing
"ITALIAN SCHOOL, 18TH CENTURY ", A STILL LIFE WITH AN EWER AND A LANDSCAPE BEYOND,2019.0,11875.0,10000.0,15000.0,Fabrizio Moretti x Fabrizio Moretti | In Passing
"GIUSEPPE CESARI, CALLED CAVALIERE D'ARPINO ", THE DEAD CHRIST SUPPORTED BY GOD THE FATHER AND TWO ANGELS,2019.0,8750.0,10000.0,15000.0,Fabrizio Moretti x Fabrizio Moretti | In Passing
"NEAPOLITAN SCHOOL, 17TH CENTURY ", A PAIR OF MEMENTO MORI WITH SKULLS AND CROSSBONES,2019.0,100000.0,8000.0,12000.0,Fabrizio Moretti x Fabrizio Moretti | In Passing
MASTER OF STAFFOLO ," MADONNA AND CHILD ENTHRONED WITH SAINT SEBASTIAN, SAINT BERNARDINO OF SIENA AND TWO ANGELS",2019.0,52500.0,40000.0,60000.0,Fabrizio Moretti x Fabrizio Moretti | In Passing
GIUSEPPE VERMIGLIO , THE ADORATION OF THE SHEPHERDS,2019.0,22500.0,10000.0,15000.0,Fabrizio Moretti x Fabrizio Moretti | In Passing
CARLO PORTELLI , MADONNA AND CHILD WITH THE INFANT SAINT JOHN THE BAPTIST,2019.0,56250.0,40000.0,60000.0,Fabrizio Moretti x Fabrizio Moretti | In Passing
MATTEO CESA , THE BIRTH AND THE PRESENTATION OF THE VIRGIN MARY IN THE TEMPLE; THE DORMITION OF THE VIRGIN MARY,2019.0,106250.0,80000.0,120000.0,Fabrizio Moretti x Fabrizio Moretti | In Passing
VENTURA DI MORO , MADONNA AND CHILD WITH SAINT ANTHONY AND TWO DONORS,2019.0,87500.0,40000.0,60000.0,Fabrizio Moretti x Fabrizio Moretti | In Passing
"GIOVANNI BATTISTA CARACCIOLO, CALLED BATTISTELLO ", SAINT JOHN THE BAPTIST IN THE WILDERNESS,2019.0,81250.0,100000.0,150000.0,Fabrizio Moretti x Fabrizio Moretti | In Passing
BARTOLOMEO LIGOZZI ," A STILL LIFE OF WHITE ROSES, HYACINTHS, RED CARNATIONS, ANEMONES AND OTHER FLOWERS IN A GLASS VASE ON A STONE SURFACE",2019.0,21250.0,5000.0,7000.0,Fabrizio Moretti x Fabrizio Moretti | In Passing
"LOMBARD/VENETIAN SCHOOL, 16TH CENTURY ", ALLEGORY OF GEOMETRY; ALLEGORY OF GEOGRAPHY,2019.0,35000.0,40000.0,60000.0,Fabrizio Moretti x Fabrizio Moretti | In Passing
SILVESTRO DEI GHERARDUCCI , SAINT JOHN THE EVANGELIST,2019.0,450000.0,50000.0,70000.0,Fabrizio Moretti x Fabrizio Moretti | In Passing
FABRIZIO CHIARI , THE DEATH OF SAINT ANNE,2019.0,30000.0,10000.0,15000.0,Fabrizio Moretti x Fabrizio Moretti | In Passing
BARTOLOMEO DI GIOVANNI ," PIETÀ WITH SAINT NICODEMUS, THE VIRGIN MARY AND SAINT JOHN THE EVANGELIST",2019.0,22500.0,10000.0,15000.0,Fabrizio Moretti x Fabrizio Moretti | In Passing
SEBASTIANO MARSILI ," PORTRAIT OF ALESSANDRA DI VIERI DE’ MEDICI (B. 1549) AT AGE 32 WITH HER SON OTTAVIANO (B. 1577), THREE-QUARTER LENGTH",2019.0,93750.0,60000.0,80000.0,Fabrizio Moretti x Fabrizio Moretti | In Passing
LUCA SIGNORELLI , SAINT FRANCIS; SAINT ANTHONY ABBOT,2019.0,47500.0,40000.0,60000.0,Fabrizio Moretti x Fabrizio Moretti | In Passing
TADDEO DI BARTOLO , THE ENTOMBMENT,2019.0,106250.0,60000.0,80000.0,Fabrizio Moretti x Fabrizio Moretti | In Passing
LIPPO D'ANDREA , A PROPHET,2019.0,16250.0,8000.0,12000.0,Fabrizio Moretti x Fabrizio Moretti | In Passing
AFTER GERHARD BOCKMAN ," Portrait of Prince William Augustus, Duke of Cumberland (1721-1765)",2019.0,1312.25,1049.8,1574.7,Spetchley - Property from the Berkeley Collection
MANNER OF FILIPPO LIPPI , The Madonna and Child with a pomegranate,2019.0,9841.89,2624.5,3936.76,Spetchley - Property from the Berkeley Collection
FRANCESCO MANTOVANO ," Still life of flowers in an urn, including tulips, roses and poppies, all on a stone ledge",2019.0,16403.16,13122.52,19683.79,Spetchley - Property from the Berkeley Collection
AFTER GUIDO RENI , The penitent Saint Peter,2019.0,2132.41,787.35,1049.8,Spetchley - Property from the Berkeley Collection
"DUTCH SCHOOL, MID-19TH CENTURY "," A still life of flowers, insects and fruit, including peaches, a blue iris, a melon and nuts on a stone ledge",2019.0,1640.32,1312.25,1968.38,Spetchley - Property from the Berkeley Collection
"SPANISH PROVINCIAL SCHOOL, CIRCA 1700 "," The Virgin at the helm of the Ship of Life, interceding for the souls of the clergy",2019.0,6889.33,3936.76,6561.26,Spetchley - Property from the Berkeley Collection
CIRCLE OF FRANCOIS-XAVIER FABRE ," Portrait of a gentleman, traditionally identified as Henry Swinburne (1743- 1803), three-quarter-length, seated at a table with a quill and musical manuscript, holding a violin",2019.0,4592.88,3936.76,6561.26,Spetchley - Property from the Berkeley Collection
CIRCLE OF ROBERT PEAKE ," Portrait of a girl, half-length, in a lace cap and ruff",2019.0,42648.21,10498.02,15747.03,Spetchley - Property from the Berkeley Collection
FOLLOWER OF GASPAR PIETER VERBRUGGEN , Still life of a garland of flowers around a sculpted urn,2019.0,2049.74,1312.25,1968.38,Spetchley - Property from the Berkeley Collection
FOLLOWER OF WILLEM VAN DIEST ," Shipping off the port of Algiers, with a man-of-war",2019.0,5741.1,3936.76,6561.26,Spetchley - Property from the Berkeley Collection
FOLLOWER OF SIR ANTHONY VAN DYCK ," Portrait of a gentleman, head and shoulders, his right arm upon his breast",2019.0,180434.72,10498.02,15747.03,Spetchley - Property from the Berkeley Collection
THOMAS VAN DER WILT , Portrait of a small boy in blue with a feathered cap tempting a bird into a cage with a piece of pretzel,2019.0,16403.16,13122.52,19683.79,Spetchley - Property from the Berkeley Collection
ATTRIBUTED TO WILLEM KEY ," Portrait of Margaret, Duchess of Parma and Governor of the Netherlands (1522-1586), bust length",2019.0,41007.89,7873.51,10498.02,Spetchley - Property from the Berkeley Collection
O. NEAL , Sir Walter Compton (1749-1773) and his hounds,2019.0,16403.16,13122.52,19683.79,Spetchley - Property from the Berkeley Collection
"HISPANO FLEMISH SCHOOL, SECOND QUARTER OF 17TH CENTURY ", Saint Francis kneeling before a crucifix,2019.0,3280.63,2624.5,3936.76,Spetchley - Property from the Berkeley Collection
CIRCLE OF MICHAEL DAHL ," Portrait of a gentleman, half-length, wearing a brown coat",2019.0,3280.63,2624.5,3936.76,Spetchley - Property from the Berkeley Collection
MANNER OF REMBRANDT ," Portrait of a lady, half-length",2019.0,3280.63,1049.8,1574.7,Spetchley - Property from the Berkeley Collection
FOLLOWER OF PIER FRANCESCO MOLA , Christ on the road to Emeas,2019.0,1721.68,1312.25,1968.38,Spetchley - Property from the Berkeley Collection
FOLLOWER OF BENEDETTO GENNARI ," Portrait of a gentleman in classical robes, bust length, with a lace jabot",2019.0,1721.68,1312.25,1968.38,Spetchley - Property from the Berkeley Collection
CIRCLE OF DERICK BAEGERT , Recto: Christ shown to the people; Verso: The Virgin and Saint Christopher; Recto: The Entombment; Verso: Saint Anthony Abbot and Saint Anne,2019.0,65612.62,52490.1,78735.15,Spetchley - Property from the Berkeley Collection
BAREND VAN DER MEER ," Still life of peaches, grapes and vine leaves, all on a stone ledge",2019.0,9841.89,7873.51,10498.02,Spetchley - Property from the Berkeley Collection
MANNER OF GIOVANNI BELLINI , The Madonna and Child seated before a distant landscape,2019.0,4920.95,1968.38,2624.5,Spetchley - Property from the Berkeley Collection
WILLIAM ANDERSON , Dutch barges with figures on a beach; and A Dutch frigate and other vessels off a coast,2019.0,9841.89,2624.5,3936.76,Spetchley - Property from the Berkeley Collection
ATTRIBUTED TO WILLIAM GOUW FERGUSON , Still life of dead game with a grey partridge,2019.0,1640.32,1312.25,1968.38,Spetchley - Property from the Berkeley Collection
"THOMAS SIDNEY COOPER, R.A. ", A bull with two cows and a goat beside a pollarded willow,2019.0,4592.88,2624.5,3936.76,Spetchley - Property from the Berkeley Collection
CIRCLE OF GERARD SOEST ," Portrait of George Doddington, bust-length, wearing a red cloak",2019.0,2460.47,1968.38,2624.5,Spetchley - Property from the Berkeley Collection
"FELICE FORTUNATO BIGGI, CALLED 'FELICE DEI FIORI' "," A still life of flowers in an urn on a ledge, surrounded by other flowers, fruit and vegetables, as well as a chicken, duck, guinea pig and game",2019.0,32806.31,26245.05,39367.57,Spetchley - Property from the Berkeley Collection
MANNER OF PIERRE MIGNARD ," Portrait of man, traditionally identified as Louis, the Grand Dauphin of France (1661-1711), bust length  ",2019.0,1721.68,787.35,1049.8,Spetchley - Property from the Berkeley Collection
"ENGLISH SCHOOL, CIRCA 1690 "," Portrait of a boy wearing brown Roman robes, half-length, with a white lace jabot",2019.0,1557.64,787.35,1049.8,Spetchley - Property from the Berkeley Collection
AFTER GABRIEL METSU ," Portrait of a huntsman in a red jacket at a window, raising his wine glass, a hunting horn and pigeon on the window sill before him",2019.0,2460.47,1968.38,2624.5,Spetchley - Property from the Berkeley Collection
"FOLLOWER OF LEONARDO DA VINCI, 19TH CENTURY ", Mona Lisa,2019.0,19683.79,13122.52,19683.79,Old Masters Day Sale
WILLEM VAN DE VELDE THE YOUNGER AND STUDIO , A calm with an English Merchant Ship at anchor,2019.0,41007.89,32806.31,45928.84,Old Masters Day Sale
"SCHOOL OF MADRID, CIRCA 1700 ", Saint Michael vanquishing the Devil,2019.0,26245.05,13122.52,19683.79,Old Masters Day Sale
FRANCESCO LUPICINI , Allegory of Painting,2019.0,24604.73,19683.79,26245.05,Old Masters Day Sale
SALOMON VAN RUYSDAEL ," River landscape with figures in rowing boats, and fishermen hauling a net in the foreground",2019.0,172233.14,78735.15,104980.2,Old Masters Day Sale
PSEUDO-JAN VAN KESSEL II , A still life of flowers in a porcelain bowl and a squirrel on a stone ledge,2019.0,32806.31,7873.51,10498.02,Old Masters Day Sale
"VENETIAN SCHOOL, 16TH CENTURY "," Portrait of a gentleman, half-length, in a golden doublet",2019.0,27885.37,19683.79,26245.05,Old Masters Day Sale
FOLLOWER OF WILLEM KEY ," Portrait of a man in black, holding a glove in his left hand; Portrait of his wife, wearing black with white cuffs, ruff and cap, a handkerchief in her left hand",2019.0,49209.47,26245.05,39367.57,Old Masters Day Sale
PIETER DE RING ," Still life with a roemer, a bowl of strawberries and cherries, grapes and a rose",2019.0,147628.41,39367.57,65612.62,Old Masters Day Sale
BARTHOLOMEUS ASSTEYN ," Still life with apricots, cherries, currants, a peach, and a pink rose on a ledge; and Still life with a pear, currants, apricots and a pink rose on a ledge",2019.0,36086.94,19683.79,26245.05,Old Masters Day Sale
ANDRIES VERMEULEN , Winter landscape with figures skating on a river before a wooden bridge and a windmill,2019.0,10662.05,7873.51,10498.02,Old Masters Day Sale
FRANS FLORIS THE ELDER , The head of a bearded man in a red hat,2019.0,32806.31,26245.05,39367.57,Old Masters Day Sale
PHILIPS WOUWERMAN ," A grotto with travellers unloading a wagon, a gypsy fortune-teller, a blacksmith and other figures",2019.0,24604.73,19683.79,26245.05,Old Masters Day Sale
JAN ANTHONISZ. VAN RAVESTEYN ," Portrait of a lady, three-quarter length, in a wide lace collar, holding a fan",2019.0,27885.37,13122.52,19683.79,Old Masters Day Sale
WILLEM KALF , Barn interior with an old woman and still life of vegetables,2019.0,32806.31,10498.02,15747.03,Old Masters Day Sale
"ENGLISH SCHOOL, CIRCA 1620 "," Portrait of James VI of Scotland and I of England (1566–1625), full-length, wearing a black and white striped suit with a silk lined black cape, lace collar and cuffs and a hat with a feather, with the Order of Saint George",2019.0,73814.2,52490.1,78735.15,Old Masters Day Sale
FOLLOWER OF AGNOLO DI COSIMO CALLED BRONZINO ," Portrait of Cosimo de' Medici, half-length, in an embroidered doublet with fur wrap",2019.0,9841.89,7873.51,10498.02,Old Masters Day Sale
VINCENT SELLAER , Leda and the Swan,2019.0,68893.26,39367.57,65612.62,Old Masters Day Sale
MASTER OF THE KRAINBURG ALTARPIECE , The Massacre of the Innocents,2019.0,26245.05,19683.79,26245.05,Old Masters Day Sale
CIRCLE OF GIROLAMO DA CARPI ," Portrait of a gentleman, bust-length, in a brown doublet, an embroidered collar and a black robe and hat, against a green background",2019.0,8037.55,10498.02,15747.03,Old Masters Day Sale
JOHANN KÖNIG , The Conversion of Saint Paul,2019.0,262450.5,13122.52,19683.79,Old Masters Day Sale
"GENOESE SCHOOL, 17TH CENTURY ", Ecce Homo,2019.0,303458.39,32806.31,45928.84,Old Masters Day Sale
SIMON VOUET , Study of a young woman as the Virgin,2019.0,65612.62,65612.62,91857.67,Old Masters Day Sale
"CARAVAGGESQUE MASTER, CIRCA 1614 ", The Adoration of the Shepherds,2019.0,807035.29,52490.1,78735.15,Old Masters Day Sale
CIRCLE OF JACOPO TINTORETTO , The Presentation of Christ in the Temple,2019.0,90217.36,7873.51,10498.02,Old Masters Day Sale
JACOB ESSELENS ," An elegant company by a lake, with Utrecht Cathedral in the distance",2019.0,26245.05,19683.79,26245.05,Old Masters Day Sale
STUDIO OF MELCHIOR DE HONDECOETER ," Poultry and a lapwing in a garden landscape, with a pigeon in flight and two birds of prey in the distance",2019.0,45928.84,19683.79,26245.05,Old Masters Day Sale
MICHIEL JANSZ. VAN MIEREVELT ," Portrait of James Hay, 1st Earl of Carlisle (1580–1636), full-length, wearing an embroidered doublet, his hat on a table beside him",2019.0,65612.62,65612.62,91857.67,Old Masters Day Sale
ADRIAEN JANSZ. VAN OSTADE , Peasants smoking and drinking in an inn,2019.0,57411.05,19683.79,26245.05,Old Masters Day Sale
PIETER BRUEGHEL THE YOUNGER ," Head of a peasant, wearing a black cap",2019.0,131225.25,78735.15,104980.2,Old Masters Day Sale
PIETER CLAESZ. ," A roemer, tobacco, a chicken, a herring and a partially peeled lemon on a pewter plate, with shrimp in a porcelain bowl, and other fruit, on a partially draped table",2019.0,106620.52,39367.57,65612.62,Old Masters Day Sale
CIRCLE OF ROBERT PEAKE ," Portrait of Sir Edward Pytts of Kyre Wyard and Sheriff of Worcestershire and his grandson, Edward Pytts, both full-length, the former in a black doublet and hose with a dog at his feet, the latter in a richly embroidered red and white dress, holding a sword",2019.0,131225.25,104980.2,157470.3,Old Masters Day Sale
ATTRIBUTED TO ROBERT PEAKE ," Portrait of Elizabeth Coningsby, wife of Sir Thomas Wyndham of Kentsford (d. 1635), and her eldest son Sir Edmund Wyndham (c. 1601–1683), both full-length",2019.0,278853.66,65612.62,91857.67,Old Masters Day Sale
ABRAHAM STORCK , A southern port scene with numerous figures on a quayside,2019.0,131225.25,52490.1,78735.15,Old Masters Day Sale
JAN ANTHONISZ. VAN RAVESTEYN , Portrait of a young golfer ,2019.0,507841.72,157470.3,236205.45,Old Masters Evening Sale | 西洋古典油畫晚拍
JOHN WOOTTON , King William III stag hunting ,2019.0,507841.72,262450.5,393675.75,Old Masters Evening Sale | 西洋古典油畫晚拍
LORENZO LIPPI ," Portrait of a young woman, probably Margherita Galli, in the guise of Saint Margaret ",2019.0,82015.78,65612.62,91857.67,Old Masters Evening Sale | 西洋古典油畫晚拍
FOLLOWER OF MARINUS VAN REYMERSWAELE , The Tax Collectors or 'The Misers' ,2019.0,964505.59,262450.5,393675.75,Old Masters Evening Sale | 西洋古典油畫晚拍
NICOLAS POUSSIN , The Baptism of Christ ,2019.0,2381738.28,1968378.75,2624504.99,Old Masters Evening Sale | 西洋古典油畫晚拍
CLAUDE-JOSEPH VERNET ," A Mediterranean harbour scene at sunset, with fishermen pushing off a rowing boat beside a fortress, a British warship beyond ",2019.0,1090481.83,196837.87,262450.5,Old Masters Evening Sale | 西洋古典油畫晚拍
LUIS MELÉNDEZ ," Still life with a plate of apricots, cherries, bread, a wine cooler and receptacles ",2019.0,964505.59,787351.5,1049802.0,Old Masters Evening Sale | 西洋古典油畫晚拍
LUCA CARLEVARIJS ," Venice, a view of a corner of St. Mark's Square, with peasants and dogs to the right and other figures, some in oriental dress, to the left ",2019.0,82015.78,52490.1,78735.15,Old Masters Evening Sale | 西洋古典油畫晚拍
JACOB JORDAENS , Christ among the Pharisees ,2019.0,278853.66,65612.62,91857.67,Old Masters Evening Sale | 西洋古典油畫晚拍
"JACOPO DA PONTE, CALLED JACOPO BASSANO ", The Israelites in the Wilderness ,2019.0,393675.75,262450.5,393675.75,Old Masters Evening Sale | 西洋古典油畫晚拍
MARIOTTO DI NARDO ," The Madonna and Child enthroned with Saints Apollonia, Anthony Abbot, Gregory the Great, Jerome, Paul [?], and Benedict ",2019.0,139426.83,131225.25,196837.87,Old Masters Evening Sale | 西洋古典油畫晚拍
MARTEN VAN CLEVE THE ELDER , The Procession of the Bride; The Procession of the Groom; The Wedding Feast; The Blessing of the Marriage Bed ,2019.0,360869.44,288695.55,367430.7,Old Masters Evening Sale | 西洋古典油畫晚拍
BALTHASAR VAN DER AST ," Still life of mixed flowers in a glass vase, with three shells, a grasshopper and a spider on a tabletop ",2019.0,295256.81,262450.5,393675.75,Old Masters Evening Sale | 西洋古典油畫晚拍
JOHANNES BOSSCHAERT ," Still life of tulips and other flowers in a basket, with shells and fruit on a stone ledge ",2019.0,246047.34,196837.87,262450.5,Old Masters Evening Sale | 西洋古典油畫晚拍
"JUSEPE DE RIBERA, CALLED LO SPAGNOLETTO ", Saint Judas Thaddeus ,2019.0,523588.75,262450.5,393675.75,Old Masters Evening Sale | 西洋古典油畫晚拍
ARTEMISIA GENTILESCHI ," A female martyr saint, probably Saint Catherine of Alexandria ",2019.0,246047.34,196837.87,262450.5,Old Masters Evening Sale | 西洋古典油畫晚拍
GODFRIED SCHALCKEN , The Visit to the Doctor ,2019.0,344466.28,131225.25,196837.87,Old Masters Evening Sale | 西洋古典油畫晚拍
"SCHOOL OF BRUGES, FIRST HALF OF THE 16TH CENTURY ", The Virgin and Child ,2019.0,278853.66,78735.15,104980.2,Old Masters Evening Sale | 西洋古典油畫晚拍
GIOVANNI BELLINI , Christ carrying the Cross ,2019.0,1043240.74,196837.87,262450.5,Old Masters Evening Sale | 西洋古典油畫晚拍
"JOSEPH WRIGHT OF DERBY, A.R.A. "," An Italian river landscape with a bridge and tower at sunset, with figures in the foreground ",2019.0,393675.75,131225.25,196837.87,Old Masters Evening Sale | 西洋古典油畫晚拍
ANTHONIS MOR , Portrait of Jacopo da Trezzo (c. 1514–1589) ,2019.0,2539208.58,393675.75,656126.25,Old Masters Evening Sale | 西洋古典油畫晚拍
SIMON FRANCK , Wings from an altarpiece: Saint Achatius with a train of knights and nobles; and Saint Ursula with an entourage of maidens ,2019.0,964505.59,524901.0,787351.5,Old Masters Evening Sale | 西洋古典油畫晚拍
GEORGE ROMNEY , Portrait of Joseph Mawbey (1772–1817) ,2019.0,344466.28,262450.5,393675.75,Old Masters Evening Sale | 西洋古典油畫晚拍
"MICHELE PACE, CALLED MICHELANGELO DEL CAMPIDOGLIO "," Portrait of a black and white greyhound belonging to the Chigi family, standing in a mountainous landscape ",2019.0,344466.28,157470.3,236205.45,Old Masters Evening Sale | 西洋古典油畫晚拍
FRANCESCO BOTTICINI ," Saint Nicholas enthroned with Saints Hubert, Dominic, Jerome and Anthony of Padua ",2019.0,254248.92,131225.25,196837.87,Old Masters Evening Sale | 西洋古典油畫晚拍
SALVATOR ROSA ," Portrait of a bearded man, bust-length, traditionally identified as Masaniello ",2019.0,270652.08,262450.5,393675.75,Old Masters Evening Sale | 西洋古典油畫晚拍
LUCA CARLEVARIJS ," Venice, a view of the Grand Canal with the Church of Santa Maria della Salute ",2019.0,180434.72,131225.25,196837.87,Old Masters Evening Sale | 西洋古典油畫晚拍
ANTONIO DE BELLIS , Saint Catherine of Alexandria ,2019.0,131225.25,104980.2,157470.3,Old Masters Evening Sale | 西洋古典油畫晚拍
STUDIO OF SIR PETER PAUL RUBENS , Diana and her nymphs hunting ,2019.0,2224267.98,393675.75,656126.25,Old Masters Evening Sale | 西洋古典油畫晚拍
"SIR EDWIN HENRY LANDSEER, R.A. ", Study of a Scotch Collie (recto); Study of William Russell with a falcon and a hound (verso) ,2019.0,246047.34,196837.87,262450.5,Old Masters Evening Sale | 西洋古典油畫晚拍
AFTER GUIDO RENI , SAINT MARY MAGDALENE,2019.0,12302.37,3936.76,6561.26,STONE: Marble and Hardstones
EDWARD ALCOCK ," PORTRAIT OF WALTER KING (D. 1792) OF NAISH HOUSE, SOMERSET; PORTRAIT OF HIS WIFE MRS KING, WITH A WHIPPET (D. 1787)",2019.0,6561.26,0.0,0.0,STYLE: Private Collections
"FRANCESCO ZUCCARELLI, R.A. "," DIANA AND CALLISTO, WITH NYMPHS RESTING FROM THE HUNT",2019.0,19683.79,0.0,0.0,STYLE: Private Collections
MANNER OF WILLIAM JONES OF BATH , STILL LIFE WITH MIXED FRUIT IN A BASKET AND A BULLFINCH; AND STILL LIFE WITH MIXED FRUIT AND A RED SQUIRREL ON A STONE LEDGE,2019.0,2460.47,0.0,0.0,STYLE: Private Collections
"ENGLISH SCHOOL, 18TH CENTURY ", A SPORTING STILL LIFE WITH A GREYHOUND SURROUNDED BY GAME IN A LANDSCAPE,2019.0,3280.63,0.0,0.0,STYLE: Private Collections
FOLLOWER OF JEAN-BAPTISTE SANTERRE ," PORTRAIT OF A LADY, THREE-QUARTER-LENGTH, IN A RED DRESS WITH A BLUE WRAP, HOLDING AN ORANGE BLOSSOM, AN ORANGE TREE IN THE LANDSCAPE BEYOND",2019.0,4264.82,0.0,0.0,STYLE: Private Collections
AFTER JOHN HOPPNER ," PORTRAIT OF HORATIO, 1ST VISCOUNT NELSON (1758–1805), FULL-LENGTH",2019.0,18043.47,0.0,0.0,STYLE: Private Collections
AMBROSIUS BOSSCHAERT THE YOUNGER ," STILL LIFE WITH PINK AND WHITE ROSES IN A GLASS VASE, A POMEGRANATE ON A PEWTER PLATE, WITH CHERRIES, WHITE CURRANTS AND A FROG ON A PARTIALLY DRAPED TABLE",2019.0,18043.47,0.0,0.0,STYLE: Private Collections
"ATTRIBUTED TO ROBERT FREEBAIRN, A.O.W.S. ", A PAIR OF ITALIANATE LANDSCAPES,2019.0,9841.89,0.0,0.0,STYLE: Private Collections
"ATTRIBUTED TO FRANCIS VAN DER MYN, ALSO KNOWN AS FRANS VAN DER MIJN "," PORTRAIT OF MASTER J.W. WANLEY, THREE-QUARTER-LENGTH, HOLDING A BULLFINCH",2019.0,6561.26,0.0,0.0,STYLE: Private Collections
