artist,title,currency,sale_year,sold,price,low_estimate,high_estimate,auction_title
Circle of Joachim Govertsz. Camphuysen,Country landscape with a hennetaster before a cottage with dovecote,USD,2021.0,1,7560.0,8000.0,12000.0,Master Paintings
Vincenzo di Bertone Civitali,Saint Vincent; Saint Stephen:,USD,2021.0,1,94500.0,60000.0,80000.0,Master Paintings
"Workshop of Alessandro di Mariano Filipepi, called Sandro Botticelli",Madonna and Child,USD,2021.0,1,239400.0,100000.0,150000.0,Master Paintings
Jacopo da Valenza,The Blessing Christ,USD,2021.0,1,88200.0,60000.0,80000.0,Master Paintings
Alessandro Allori,"Portrait of a lady in black, holding a book, three-quarter length",USD,2021.0,1,315000.0,150000.0,200000.0,Master Paintings
François-Joseph Huijgens,Game piece with a yellow hammer and house sparrow,USD,2021.0,0,0.0,8000.0,12000.0,Master Paintings
Workshop of Melchior de Hondecoeter,Aesop's fable of the raven,USD,2021.0,0,0.0,60000.0,80000.0,Master Paintings
Master of the San Niccolò Altarpiece,"The Crucifixion and Adoration of the Magi, with the Annunciation above",USD,2021.0,0,0.0,100000.0,150000.0,Master Paintings
Jan Wijnants,An extensive landscape with figures on a path in the foreground,USD,2021.0,0,0.0,25000.0,35000.0,Master Paintings
Bartolomeo di Giovanni,Saint Stephen; Saint Augustine:,USD,2021.0,1,63000.0,60000.0,80000.0,Master Paintings
Attributed to Antoine Caron,"The Dialogue of the Prince with Death, Allegory of the Horrors of War",USD,2021.0,0,0.0,60000.0,80000.0,Master Paintings
Circle of Sir Anthony van Dyck,"Portrait of an elegant woman, half length, in a black dress with pearls",USD,2021.0,1,12600.0,15000.0,20000.0,Master Paintings
"German School, circa 1800",A hare among plants and grasses,USD,2021.0,0,0.0,8000.0,12000.0,Master Paintings
"Attributed to Alessandro di Mariano Filipepi, called Botticelli, and Studio",The Last Communion of Saint Jerome,USD,2021.0,1,189000.0,150000.0,200000.0,Master Paintings
"Antwerp School, circa 1615/1620, possibly the young Jacob Jordaens",Diana and Actaeon,USD,2021.0,1,56700.0,25000.0,35000.0,Master Paintings
The Mezzana Master,The Madonna and Child enthroned between Saints Louis of Toulouse and Francis (central panel); Crucifixion below the Angel of the Annunciation (left shutter); Madonna della Misericordia below the Virgin Annunciate (right shutter): a triptych,USD,2021.0,1,126000.0,100000.0,150000.0,Master Paintings
Benedetto di Bindo,A male saint,USD,2021.0,1,25200.0,20000.0,30000.0,Master Paintings
"Florentine School, circa 1600","Portrait of Maria de' Medici, half-length",USD,2021.0,1,25200.0,8000.0,12000.0,Master Paintings
The Master of the Lazzaroni Madonna,"The Madonna and Child surrounded by Saint John the Evangelist, Saint James the Greater, Saint Catherine of Alexandria and Saint John the Baptist",USD,2021.0,1,44100.0,12000.0,18000.0,Master Paintings
Giovanni di Paolo di Grazia,St. Elizabeth of Hungary,USD,2021.0,1,302400.0,250000.0,350000.0,Master Paintings
Attributed to Faustino Bocchi,A group of costumed dwarfs in conversation and preparing for a battle,USD,2021.0,0,0.0,10000.0,15000.0,Master Paintings
Jakob Bogdány,"An assembly of birds in a parkland landscape, including a blue peacock, a pair of domestic crested ducks, a barbary coast duck, a red crested cockatoo, a yellow-headed Amazonian parrot, a great curassow, a white Muscovy duck, an Australian king parrot, guinea fowl, and turtle doves",USD,2021.0,1,580800.0,400000.0,600000.0,Master Paintings
"Dutch School, circa 1660 - 1670","Portrait of a lady in a pink dress, three-quarter length",USD,2021.0,0,0.0,8000.0,12000.0,Master Paintings
Jan Lievens,Study of a man looking up,USD,2021.0,0,0.0,80000.0,120000.0,Master Paintings
Workshop of Joachim Beuckelaer,Kitchen maid preparing meat with Christ in the House of Mary and Martha beyond,USD,2021.0,1,30240.0,30000.0,40000.0,Master Paintings
Melchior de Hondecoeter,"Exotic fowl, including a peacock and peahen, flamingo, African crane, pheasant, and lapwing, shoveller, pelican and tufted duck",USD,2021.0,1,151200.0,150000.0,200000.0,Master Paintings
Master of the Assumption of the Magdalene,Madonna and Child holding a goldfinch,USD,2021.0,1,189000.0,150000.0,250000.0,Master Paintings
Melchior de Hondecoeter,"A peacock, pea-hen, pheasant, turkey, cockerel and chick by a wall, a landscape beyond",USD,2021.0,1,252000.0,200000.0,300000.0,Master Paintings
Alessandro Mattia da Farnese,"Portrait of Prince Augusto Chigi, age 21 months",USD,2021.0,1,30240.0,30000.0,50000.0,Master Paintings
Abraham Janssens the Elder,Constancy,USD,2021.0,1,163800.0,150000.0,200000.0,Master Paintings
Attributed to Joseph Heintz the Younger,A witchcraft scene,USD,2021.0,1,13860.0,12000.0,18000.0,Master Paintings
Maarten de Vos,The Creation of Eve,USD,2021.0,0,0.0,30000.0,50000.0,Master Paintings
"Flemish School, circa 1660-75","Portrait of a young nobleman, possibly Philippe-François Wouters",USD,2021.0,1,6048.0,8000.0,12000.0,Master Paintings
Attributed to Marmaduke Cradock,"An assembly of birds in a parkland setting, including a Peacock, hens and a duck",USD,2021.0,1,22680.0,20000.0,30000.0,Master Paintings
Jan Breughel the Younger | Frans Francken the Younger,"Madonna and Child with St. Anne and St. John the Baptist, surrounded by a flower garland",USD,2021.0,1,63000.0,20000.0,30000.0,Master Paintings
"Nicolaes van Helt, called Stockade",Venus and Adonis,USD,2021.0,0,0.0,250000.0,350000.0,Master Paintings
David de Coninck,"Landscape with a peacock, parrot, chicken, turkey, two rabbits and a guinea-pig",USD,2021.0,1,88200.0,60000.0,80000.0,Master Paintings
Bernardino Licinio,"Portrait of an elegant young man, half length, holding gloves",USD,2021.0,1,30240.0,30000.0,50000.0,Master Paintings
Circle of Jan Jansz. Mostaert,The Temptation of Christ,USD,2021.0,1,25200.0,20000.0,30000.0,Master Paintings
The Master of the Twelve Apostles,The Holy Family,USD,2021.0,1,30240.0,30000.0,40000.0,Master Paintings
Giovanni Francesco Caroto,Madonna and Child in a Landscape,USD,2021.0,1,264600.0,150000.0,200000.0,Master Paintings
Tobias Stranover,"Peacock, pheasant, chickens, partridges and a lapwing in a landscape",USD,2021.0,1,35280.0,20000.0,30000.0,Master Paintings
Piero del Pollaiuolo,Portrait of a Youth |《青年肖像》,USD,2021.0,1,5989382.85,5249009.99,7873514.98,Modern Renaissance: A Cross-Category Sale
Giulio Romano,"Portrait of a woman, head and shoulders |《女子肖像，頭與肩》",USD,2021.0,1,496031.44,393675.75,656126.25,Modern Renaissance: A Cross-Category Sale
Pavel Tchelitchew,Jeune page portant à bout de bras une hure de sanglier sur un plateau,USD,2021.0,1,4196.18,2220.2,3330.3,"Collection Pierre Le-Tan, Session I"
"French School, 15th Century",The Annunciation to the Shepherds,USD,2021.0,1,44759.23,16651.5,22202.0,"Collection Pierre Le-Tan, Session I"
Domenico Gnoli,Cavalier sur cheval rétif,USD,2021.0,1,4895.54,3330.3,5550.5,"Collection Pierre Le-Tan, Session I"
David Hockney,Portrait de Pierre Le-Tan à la coupole,USD,2021.0,1,86721.01,33303.0,55505.0,"Collection Pierre Le-Tan, Session I"
Roger de La Fresnaye,Autoportrait,USD,2021.0,1,22379.62,3330.3,5550.5,"Collection Pierre Le-Tan, Session I"
20th Century School,Portrait de Boris Kochno,USD,2021.0,1,2098.09,444.04,666.06,"Collection Pierre Le-Tan, Session I"
Emilio Terry,A drawing by Emilio Terry accompanied by two photographs and two drawings by Emilo Terry's Studio,USD,2021.0,1,4196.18,3330.3,5550.5,"Collection Pierre Le-Tan, Session I"
Emilio Terry,Projet de lit à la turque et autres projets (recto verso),USD,2021.0,1,4196.18,3330.3,5550.5,"Collection Pierre Le-Tan, Session I"
Giovanni Boldini,A Lady at the restaurant,USD,2021.0,1,8392.36,2775.25,3885.35,"Collection Pierre Le-Tan, Session I"
Pierre Le-Tan,Portrait de David Hockney en buste,USD,2021.0,1,9791.08,6660.6,8880.8,"Collection Pierre Le-Tan, Session I"
Le Pho,Deux jeunes écrivant sur une table,USD,2021.0,1,26575.79,5550.5,7770.7,"Collection Pierre Le-Tan, Session I"
Le Pho,Autoportrait dans la forêt,USD,2021.0,1,980995.37,166515.0,222020.0,"Collection Pierre Le-Tan, Session I"
Domenico Gnoli,Ville imaginaire,USD,2021.0,1,83923.56,33303.0,55505.0,"Collection Pierre Le-Tan, Session I"
Christian Bérard,Scène de théâtre,USD,2021.0,1,9091.72,1665.15,2220.2,"Collection Pierre Le-Tan, Session I"
Roger de La Fresnaye,Etudes pour l'autoportrait,USD,2021.0,1,4196.18,888.08,1332.12,"Collection Pierre Le-Tan, Session I"
Pavel Tchelitchew,Acrobates dans un intérieur,USD,2021.0,1,4196.18,1665.15,2220.2,"Collection Pierre Le-Tan, Session I"
Eugene Berman,"L'aube, le jour, le crépuscule, la nuit",USD,2021.0,1,13987.26,3330.3,5550.5,"Collection Pierre Le-Tan, Session I"
Pablo Picasso,Chouette visage de femme,USD,2021.0,1,13987.26,4440.4,5550.5,"Collection Pierre Le-Tan, Session I"
François de Bigorie,Portrait de Bernard Boutet de Monvel,USD,2021.0,1,5594.9,666.06,888.08,"Collection Pierre Le-Tan, Session I"
20th Century English School,Portrait présumé du poète W. H. Auden,USD,2021.0,1,3356.94,2220.2,3330.3,"Collection Pierre Le-Tan, Session I"
Le Pho,Les pivoines et les iris,USD,2021.0,1,72733.75,8880.8,13321.2,"Collection Pierre Le-Tan, Session I"
Le Pho,Maison vue à travers une arche,USD,2021.0,1,20980.89,3330.3,5550.5,"Collection Pierre Le-Tan, Session I"
Jean Hugo,Portrait de Jean Cocteau,USD,2021.0,1,6993.63,6660.6,8880.8,"Collection Pierre Le-Tan, Session I"
Anton Prinner,La philosophie dans le corps du chat,USD,2021.0,1,6993.63,888.08,1110.1,"Collection Pierre Le-Tan, Session I"
Christian Bérard,Portrait de René Crevel,USD,2021.0,1,3916.43,1110.1,1665.15,"Collection Pierre Le-Tan, Session I"
Le Pho,Nature morte aux fleurs,USD,2021.0,1,36366.88,3330.3,5550.5,"Collection Pierre Le-Tan, Session I"
Christian Bérard,Etudes de personnages,USD,2021.0,1,4895.54,1665.15,2220.2,"Collection Pierre Le-Tan, Session I"
Alberto Giacometti,Études de motifs pour des objets d'art décoratif,USD,2021.0,1,15385.99,4440.4,6660.6,"Collection Pierre Le-Tan, Session I"
Marcellin Gilbert Desboutin,Boy sleeping on a table,USD,2021.0,1,3636.69,666.06,888.08,"Collection Pierre Le-Tan, Session I"
Jacques Mauny,Autoportrait pour une affiche de la galerie Chéron,USD,2021.0,1,10490.45,2220.2,3330.3,"Collection Pierre Le-Tan, Session I"
Filippino Lippi,Penitent Mary Magdalene adoring the True Cross in a rocky landscape,USD,2021.0,0,0.0,1500000.0,2000000.0,The Collection of Hester Diamond Part I
"Giovanni Battista Benvenuti, called Ortolano",The Circumcision,USD,2021.0,0,0.0,150000.0,200000.0,The Collection of Hester Diamond Part I
Maarten van Heemskerck,Lamentation,USD,2021.0,1,352800.0,300000.0,500000.0,The Collection of Hester Diamond Part I
"Benvenuto Tisi, called Garofalo",Nativity,USD,2021.0,1,214200.0,200000.0,300000.0,The Collection of Hester Diamond Part I
Jacopo di Cione,"Madonna Nursing the Christ Child with Saints Lawrence and Margaret; Predella: the Man of Sorrows, Mater Dolorosa, and Saint John the Evangelist, with two coats of arms",USD,2021.0,1,189000.0,300000.0,500000.0,The Collection of Hester Diamond Part I
Joachim Anthonisz. Wtewael,Adoration of the Shepherds,USD,2021.0,0,0.0,1000000.0,1500000.0,The Collection of Hester Diamond Part I
"Alessandro Fei, called Alessandro del Barbiere",The Flagellation of Christ,USD,2021.0,1,65520.0,80000.0,120000.0,The Collection of Hester Diamond Part I
Roberto d'Oderisio,Crucifixion with the Virgin and Saint John the Evangelist,USD,2021.0,1,403200.0,400000.0,600000.0,The Collection of Hester Diamond Part I
"Jacopo da Ponte, called Jacopo Bassano",Deposition of Christ,USD,2021.0,0,0.0,300000.0,500000.0,The Collection of Hester Diamond Part I
School of Bruges,"Virgin and Child, from an illuminated Book of Hours",USD,2021.0,1,52920.0,60000.0,80000.0,The Collection of Hester Diamond Part I
Francesco de' Franceschi,St. Jerome in the wilderness with a lion,USD,2021.0,1,352800.0,200000.0,300000.0,The Collection of Hester Diamond Part I
"Giovanni Francesco di Niccolò di Luteri, called Dosso Dossi",The Plague at Pergamea; The Sicilian Games,USD,2021.0,1,6238800.0,3000000.0,5000000.0,The Collection of Hester Diamond Part I
Federico Barocci,"Saint Joseph, a head study for the Visitation Altarpiece",USD,2021.0,1,746000.0,600000.0,800000.0,The Collection of Hester Diamond Part I
Master of the Lille Adoration,St. Jerome in his study,USD,2021.0,0,0.0,200000.0,300000.0,The Collection of Hester Diamond Part I
Pieter Coecke van Aelst,"A triptych: The Nativity, The Adoration of the Magi, The Presentation in the Temple",USD,2021.0,1,3166000.0,2500000.0,3500000.0,The Collection of Hester Diamond Part I
Nikolaos Tzafouris,"Sudarium (St. Veronica's Veil), St. George slaying a dragon, St. Francis of Assisi, St. Anthony of Padua, the Deesis: a triptych",USD,2021.0,1,138600.0,150000.0,200000.0,The Collection of Hester Diamond Part I
Rachel Ruysch,"Still life with flowers in a vase on a ledge with a dragonfly, caterpillar, and butterfly",USD,2021.0,1,2198000.0,1000000.0,1500000.0,Master Paintings & Sculpture Part I
Aert de Gelder,"Portrait of a young man behind a balustrade, possibly a self-portrait of the artist",USD,2021.0,1,927500.0,800000.0,1200000.0,Master Paintings & Sculpture Part I
Sano di Pietro,Nativity,USD,2021.0,1,504000.0,400000.0,600000.0,Master Paintings & Sculpture Part I
"Joseph Wright of Derby, A.R.A.",A cottage on fire at night,USD,2021.0,0,0.0,100000.0,150000.0,Master Paintings & Sculpture Part I
Sir Anthony van Dyck,"Portrait of Thomas Wentworth, 1st Earl of Strafford (1593-1641)",USD,2021.0,0,0.0,700000.0,1000000.0,Master Paintings & Sculpture Part I
The Master of Marradi,The Death of Lucretia at the Banquet of Lucius Junius Brutus,USD,2021.0,1,1024300.0,400000.0,600000.0,Master Paintings & Sculpture Part I
"Jacopo Robusti, called Jacopo Tintoretto","Portrait of a bearded man, possibly Prince Antonio di Santacroce of Rome",USD,2021.0,1,378000.0,300000.0,500000.0,Master Paintings & Sculpture Part I
Lorenzo di Credi and Workshop,Adoration of the Christ Child,USD,2021.0,0,0.0,600000.0,800000.0,Master Paintings & Sculpture Part I
Ambrosius Bosschaert the Elder,"A still life of white and red roses, a tulip, anemones, a hyacinth, a pansy, lily-of-the-valley, and other flowers in an ornamented glass vase on a hard-stone ledge, with a shell, a bluebottle and a Red Admiral butterfly",USD,2021.0,1,2319000.0,1000000.0,1500000.0,Master Paintings & Sculpture Part I
"Roman follower of Caravaggio and Simon Vouet, circa 1620-25",Salome with the head of Saint John the Baptist,USD,2021.0,1,113400.0,100000.0,150000.0,Master Paintings & Sculpture Part I
Hugo van der Goes,The descent from the cross,USD,2021.0,1,3350000.0,3000000.0,5000000.0,Master Paintings & Sculpture Part I
Salomon van Ruysdael,River landscape with fishermen tending their nets along a bank,USD,2021.0,1,478800.0,200000.0,300000.0,Master Paintings & Sculpture Part I
"School of Haarlem, circa 1615","Portrait of a young man holding his gloves and wearing a tall hat, his arm akimbo",USD,2021.0,1,390600.0,70000.0,90000.0,Master Paintings & Sculpture Part I
The Master of 1518,Adoration of the Magi,USD,2021.0,1,163800.0,150000.0,200000.0,Master Paintings & Sculpture Part I
David Teniers the Younger,Peasants smoking and drinking in a tavern,USD,2021.0,0,0.0,400000.0,600000.0,Master Paintings & Sculpture Part I
Marten van Cleve the Elder,Children's Games,USD,2021.0,1,625000.0,300000.0,500000.0,Master Paintings & Sculpture Part I
Attributed to Juan Pantoja de la Cruz,"Portrait of a gentleman in armor, traditionally said to be Don Fernando Alvarez de Toledo, 3rd Duke of Alba, full-length",USD,2021.0,0,0.0,300000.0,500000.0,Master Paintings & Sculpture Part I
Carlo Dolci,Mater Dolorosa,USD,2021.0,1,308700.0,200000.0,300000.0,Master Paintings & Sculpture Part I
"Flemish School, 1533",Saint Jerome in his study,USD,2021.0,1,163800.0,100000.0,150000.0,Master Paintings & Sculpture Part I
Dirk Valkenburg,A Eurasian eagle-owl with other birds in a landscape,USD,2021.0,0,0.0,250000.0,350000.0,Master Paintings & Sculpture Part I
Giovanni di Francesco Toscani,Madonna and Child with musician angels,USD,2021.0,0,0.0,200000.0,300000.0,Master Paintings & Sculpture Part I
Bartolomeo Bettera,"A still life with musical instruments and a globe on a table, a curtain behind",USD,2021.0,0,0.0,150000.0,200000.0,Master Paintings & Sculpture Part I
Apollonio di Giovanni,Triumph of Julius Caesar,USD,2021.0,1,226800.0,150000.0,200000.0,Master Paintings & Sculpture Part I
"Hispano-Flemish School, circa 1490",Christ as the Man of Sorrows,USD,2021.0,1,327600.0,150000.0,200000.0,Master Paintings & Sculpture Part I
"Alessandro di Mariano Filipepi, called Sandro Botticelli",Portrait of a young man holding a roundel,USD,2021.0,1,92184000.0,0.0,0.0,Master Paintings & Sculpture Part I
Taddeo di Bartolo,Saint Simon; Saint Francis of Assisi,USD,2021.0,1,441000.0,400000.0,600000.0,Master Paintings & Sculpture Part I
Willem van Aelst,"Still life with grapes in a basket, peaches on a silver dish, medlars, two butterflies, a fly and a snail, all on a red velvet cloth over a partially draped ledge",USD,2021.0,1,1230000.0,1000000.0,1500000.0,Master Paintings & Sculpture Part I
Jan Fris,"A still life with a stoneware jug, a glass of beer, playing cards and smokers’ requisites",USD,2021.0,0,0.0,300000.0,500000.0,Master Paintings & Sculpture Part I
Cesare Dandini,Still life of two shelducks hanging from their bills,USD,2021.0,1,176400.0,150000.0,200000.0,Master Paintings & Sculpture Part I
Hubert Robert,"View of a walled garden courtyard, with a woman feeding chickens and other figures in the foreground",USD,2021.0,1,201600.0,200000.0,300000.0,Master Paintings & Sculpture Part I
Frans Pourbus the Elder,"Portrait of a young woman, aged 17, holding a small spaniel wearing a collar of bells",USD,2021.0,1,478800.0,70000.0,90000.0,Master Paintings & Sculpture Part I
Taddeo di Bartolo,Saint Francis of Assisi; Saint William of Maleval,USD,2021.0,0,0.0,100000.0,150000.0,Master Paintings & Sculpture Part I
"Joseph Wright of Derby, A.R.A.","Mr. and Mrs. William Chase, three-quarter length, in an interior by a window, the latter holding a bird",USD,2021.0,1,378000.0,300000.0,500000.0,Master Paintings & Sculpture Part I
"Pseudo Jacopino, circa 1335 - 1340",Crucifixion with Saints and Archangel Michael above,USD,2021.0,0,0.0,300000.0,400000.0,Master Paintings & Sculpture Part I
Gerard Seghers,Repentant Mary Magdalene,USD,2021.0,1,746000.0,300000.0,500000.0,Master Paintings & Sculpture Part I
Antonietta Brandeis,Venice: A View of the Piazza San Marco,USD,2021.0,1,441000.0,150000.0,200000.0,Master Paintings & Sculpture Part I
Hubert Robert,View of a garden with a large fountain at center and figures relaxing and dancing in the foreground,USD,2021.0,1,315000.0,300000.0,500000.0,Master Paintings & Sculpture Part I
Willem Claesz. Heda,A banquet piece with an overturned tazza and oysters,USD,2021.0,0,0.0,2500000.0,3500000.0,Master Paintings & Sculpture Part I
Pompeo Girolamo Batoni,"Portrait of Thomas Orde, later Orde-Powlett and 1st Baron Bolton (1746–1807) |《托馬斯・奧德（1746-1807年）肖像，後封奧德・寶勒及保頓男爵一世》",USD,2020.0,1,654814.0,393675.75,524901.0,Old Masters Evening Sale
Bartolomé Esteban Murillo,Mater Dolorosa | 《苦難聖母》,USD,2020.0,1,314153.25,131225.25,196837.87,Old Masters Evening Sale
"Alessandro di Mariano Filipepi, called Sandro Botticelli","Christ on the Cross adored by Saints Monica, Augustine, Mary Magdalen, Jerome and Bridget of Sweden | 《聖莫尼卡、聖奧古斯丁、聖瑪利亞・瑪達肋納、聖傑羅姆及瑞典聖畢哲敬拜十字架上的耶穌》",USD,2020.0,1,1369335.48,1049802.0,1574703.0,Old Masters Evening Sale
Jan Brueghel the Younger,"Still life with a large bouquet of flowers in a wooden bucket, including a crown imperial lily, roses, tulips and other flowers, with butterflies, insects and berries on the shelf beneath |《靜物畫：木盆裡的大束鮮花，包括一朵冠花貝母、玫瑰、鬱金香，盆架上有蝴蝶、昆蟲、莓果》",USD,2020.0,1,330687.63,104980.2,157470.3,Old Masters Evening Sale
Willem Claesz. Heda,"A still life with an overturned silver tazza, glassware, pies and a peeled lemon on a table |《靜物：桌上倒轉的銀製扁花瓶、玻璃器皿、餡餅和去皮檸檬》",USD,2020.0,1,214946.96,157470.3,236205.45,Old Masters Evening Sale
Biagio d'Antonio,The Virgin and Child before a landscape |《風景前的聖母與聖嬰》,USD,2020.0,0,0.0,52490.1,78735.15,Old Masters Evening Sale
David Teniers the Younger,The Wine Harvest |《葡萄酒收穫》,USD,2020.0,1,4783160.35,3936757.49,6561262.49,Old Masters Evening Sale
Mariotto Albertinelli and Giuliano Bugiardini,The Virgin and Child with the young Saint John the Baptist and an angel | 《聖母與聖嬰、少年施洗者聖約翰及天使》,USD,2020.0,1,165343.81,131225.25,196837.87,Old Masters Evening Sale
"Sir Thomas Lawrence, P.R.A.",Portrait of Lieutenant-General Sir Herbert Taylor (1775–1839) |《英國陸軍中將賀伯・泰勒（1775-1839）肖像》,USD,2020.0,1,248015.72,196837.87,262450.5,Old Masters Evening Sale
Jacob Isaacksz. van Ruisdael,Landscape with a cottage and stone bridge under a cloudy sky |《陰天下的茅屋與石橋風景》,USD,2020.0,1,1289944.2,1049802.0,1574703.0,Old Masters Evening Sale
Sir Peter Lely,"Portrait of Elizabeth Capel, Countess of Carnarvon (1633–1678), with a guitar |《伊莉莎白・卡佩，卡那封伯爵夫人（1633-1678年）手持吉他的肖像》",USD,2020.0,0,0.0,131225.25,196837.87,Old Masters Evening Sale
"Doménikos Theotokopoulos, called El Greco and Workshop",Saint Francis of Assisi in Ecstasy |《亞西西聖方濟各的狂喜》,USD,2020.0,1,781840.04,656126.25,918576.75,Old Masters Evening Sale
Onorio Marinari,Saint Catherine of Alexandria |《亞歷山大的聖凱瑟琳》,USD,2020.0,1,99206.29,78735.15,104980.2,Old Masters Evening Sale
Adriaen Jansz. van Ostade,'The Dutch Fates' |《荷蘭命運三女神》,USD,2020.0,1,82671.91,78735.15,104980.2,Old Masters Evening Sale
Lucas Cranach the Elder,The Martyrdom of Saint Ursula and the Eleven Thousand Virgins |《聖烏蘇拉與一萬零一千位貞女殉道》,USD,2020.0,1,198412.58,104980.2,157470.3,Old Masters Evening Sale
"Francesco Ubertini, called Bachiacca",Tobias and the Angel |《托比亞斯與天使》,USD,2020.0,1,297618.87,262450.5,393675.75,Old Masters Evening Sale
Callisto Piazza,The Assumption and Coronation of the Virgin | 《聖母升天及加冕》,USD,2020.0,1,132275.05,104980.2,157470.3,Old Masters Evening Sale
Sir Peter Lely,"Portrait of Philip Stanhope, 2nd Earl of Chesterfield (1634–1714) |《菲利普・斯坦霍普，切斯特菲爾德伯爵二世（1634–1714年）肖像》",USD,2020.0,1,297618.87,196837.87,262450.5,Old Masters Evening Sale
Jan Josefsz. van Goyen,River landscape with farmhouses and a dovecote upon a high bank |《河上風景，河畔農舍與鴿房景觀》,USD,2020.0,0,0.0,196837.87,262450.5,Old Masters Evening Sale
Hans Eworth,"Portrait of Joan Thornbury, Mrs Richard Wakeman | 《瓊・桑伯里，理查德・韋克曼夫人肖像》",USD,2020.0,1,1289944.2,524901.0,787351.5,Old Masters Evening Sale
"Jusepe de Ribera, called lo Spagnoletto",Saint Teresa of Avila (1515–1582) |《亞維拉聖德蘭（1515-1582年）》,USD,2020.0,1,148809.43,131225.25,196837.87,Old Masters Evening Sale
Frans Francken the Younger,Neptune and Amphitrite |《涅普頓與安菲特里忒》,USD,2020.0,1,363756.39,78735.15,104980.2,Old Masters Evening Sale
Heinrich Friedrich Füger,Jupiter,USD,2020.0,1,214946.96,52490.1,78735.15,Old Masters Evening Sale
Sir Anthony van Dyck and Studio,"Portrait of George Hay, 2nd Earl of Kinnoull (circa 1595–1644), full-length, wearing armour, and holding a baton in his right hand, his left resting on a table with a red cloth, upon which is his helmet | 《喬治・黑伊，金諾伯爵二世（約1595-1644年）身披鎧甲、右手持棍、左手搭在桌邊的全身肖像，桌上鋪紅色桌布並擺放頭盔》",USD,2020.0,0,0.0,196837.87,262450.5,Old Masters Evening Sale
Salomon van Ruysdael,"A river landscape with sailing boats, possibly a view on the Wijkermeer | 《河上帆船風景，應為維格米爾的景觀》",USD,2020.0,1,82671.91,104980.2,157470.3,Old Masters Evening Sale
"Gaspar van Wittel, called Vanvitelli","Venice, Santa Maria della Salute and the entrance to the Grand Canal |《威尼斯安康聖母聖殿與大運河入口》",USD,2020.0,1,496031.44,393675.75,524901.0,Old Masters Evening Sale
Jacob Isaacksz. van Ruisdael,Landscape with cornfields and a thatched barn |《麥田與茅舍風景》,USD,2020.0,1,99206.29,104980.2,157470.3,Old Masters Evening Sale
CIRCLE OF JAN BRUEGHEL THE ELDER , THE TEMPTATION OF ST ANTHONY,USD,2020.0,1,26575.79,4440.4,6660.6,Tableaux Dessins Sculptures 1300-1900
CARLO BONAVIA , FIRE IN THE ISLAND,USD,2020.0,0,0.0,222020.0,333030.0,Tableaux Dessins Sculptures 1300-1900
JEAN TASSEL , THE DENIAL OF SAINT PETER,USD,2020.0,1,8392.36,6660.6,11101.0,Tableaux Dessins Sculptures 1300-1900
"ATTRIBUTED TO PIETER CLAEISSENS THE ELDER (1500-1576) AND NORTH NETHERLANDS SCHOOL, CIRCA 1550 ", A PORTABLE TRIPTYCH: THE CRUCIFIXION (CENTRAL PANEL); DONATOR WITH ST JOHN THE BAPTIST (LEFT WING); DONATOR WITH ST MARGUERITE OF ANTIOCHE (RIGHT WING),USD,2020.0,0,0.0,55505.0,77707.0,Tableaux Dessins Sculptures 1300-1900
ATTRIBUTED TO TADDEO ZUCCARO , THE FLAGELLATION OF CHRIST,USD,2020.0,0,0.0,22202.0,33303.0,Tableaux Dessins Sculptures 1300-1900
STUDIO OF SIR PETER PAUL RUBENS , SAINT PAUL,USD,2020.0,1,223796.16,22202.0,33303.0,Tableaux Dessins Sculptures 1300-1900
SÉBASTIEN BOURDON , THE ADORATION OF THE GOLDEN CALF,USD,2020.0,1,41961.78,22202.0,33303.0,Tableaux Dessins Sculptures 1300-1900
CHRISTOFFEL PIERSON , STILL LIFE WITH FALCONRY INSTRUMENTS,USD,2020.0,1,90917.19,22202.0,33303.0,Tableaux Dessins Sculptures 1300-1900
THOMAS GERMAIN JOSEPH DUVIVIER , STILL LIFE WITH A GLOBE AND SHELLS,USD,2020.0,1,7692.99,6660.6,8880.8,Tableaux Dessins Sculptures 1300-1900
JOSEPH VERNET , VIEW OF TIVOLI,USD,2020.0,1,685486.75,666060.0,888080.0,Tableaux Dessins Sculptures 1300-1900
"GERMAN SCHOOL, LATE 16TH CENTURY ", GISANT,USD,2020.0,1,13287.9,6660.6,8880.8,Tableaux Dessins Sculptures 1300-1900
STUDIO OF HYACINTHE RIGAUD ," PORTRAIT OF LOUIS DE BOURBON, DUKE OF BURGUNDY (1682-1712)",USD,2020.0,1,16784.71,8880.8,13321.2,Tableaux Dessins Sculptures 1300-1900
JAN VAN HAENSBERGEN , THE GALLANT LETTER,USD,2020.0,1,11189.81,11101.0,16651.5,Tableaux Dessins Sculptures 1300-1900
"VENETIAN SCHOOL, 16TH CENTURY ", THE DESCENT FROM THE CROSS,USD,2020.0,1,11189.81,11101.0,16651.5,Tableaux Dessins Sculptures 1300-1900
WILLEM WILLEMSZ. VAN DER VLIET , AN OLD WOMAN BY CANDLELIGHT,USD,2020.0,1,174840.75,88808.0,133212.0,Tableaux Dessins Sculptures 1300-1900
FOLLOWER OF FRA BARTOLOMEO , THE HOLY FAMILY,USD,2020.0,0,0.0,16651.5,22202.0,Tableaux Dessins Sculptures 1300-1900
